class_code,college_name,department_name,course_name,professor,class_time,class_type,class_room,class_time_number
ERC2012-42,공과대학,건설환경공학부,"인공지능과디지털수학
Digital Mathematics for Artificial Intelligence",김현수,"금09:00-10:15【26515】,금10:30-11:45【26515】",일반수업,26515,"5_09001015, 5_10301145"
ERC2011-44,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",최문택,"월13:30-14:45【22310】,수12:00-13:15【22310】",국제어수업,22310,"1_13301445, 3_12001315"
ERC2011-45,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",최문택,"월15:00-16:15【22310】,수16:30-17:45【22310】",국제어수업,22310,"1_15001615, 3_16301745"
ERC2011-46,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",최문택,"월16:30-17:45【22310】,수15:00-16:15【22310】",국제어수업,22310,"1_16301745, 3_15001615"
ERC2011-47,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",원병묵,"월10:30-11:45【22319】,수09:00-10:15【22319】",일반수업,22319,"1_10301145, 3_09001015"
ERC2011-48,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",권영돈,"월13:30-14:45【22319】,수12:00-13:15【22319】",일반수업,22319,"1_13301445, 3_12001315"
ERC2011-49,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",최현기,"화15:00-16:15【22410】,목16:30-17:45【22410】",일반수업,22410,"2_15001615, 4_16301745"
ERC2012-41,공과대학,건설환경공학부,"인공지능과디지털수학
Digital Mathematics for Artificial Intelligence",김현수,"화09:00-10:15【26223】,화10:30-11:45【26223】",일반수업,26223,"2_09001015, 2_10301145"
ERC2012-42,공과대학,건설환경공학부,"인공지능과디지털수학
Digital Mathematics for Artificial Intelligence",김현수,"금09:00-10:15【26515】,금10:30-11:45【26515】",일반수업,26515,"5_09001015, 5_10301145"
ERC3011-41,공과대학,건설환경공학부,"산학융합캡스톤디자인
Industry Collaborative Capstone Design",김미소,"금18:00-19:15【26223】,금19:30-20:45【26223】",일반수업,26223,"5_18001915, 5_19302045"
ERC7001-41,공과대학,건설환경공학부,"메타버스플랫폼이해와활용
Understanding and Utilizing the Metaverse Platform",김정엽,"화12:00-13:15【26305】,목13:30-14:45【26305】",일반수업,26305,"2_12001315, 4_13301445"
ERC7002-41,공과대학,건설환경공학부,"NFT이해와활용
Understanding and Utilizing NFT",김정엽,"화13:30-14:45【83188】,목12:00-13:15【83188】",일반수업,83188,"2_13301445, 4_12001315"
ERC2011-47,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",원병묵,"월10:30-11:45【22319】,수09:00-10:15【22319】",일반수업,22319,"1_10301145, 3_09001015"
ERC2011-48,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",권영돈,"월13:30-14:45【22319】,수12:00-13:15【22319】",일반수업,22319,"1_13301445, 3_12001315"
ERC2011-49,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",최현기,"화15:00-16:15【22410】,목16:30-17:45【22410】",일반수업,22410,"2_15001615, 4_16301745"
ERC2012-41,공과대학,건설환경공학부,"인공지능과디지털수학
Digital Mathematics for Artificial Intelligence",김현수,"화09:00-10:15【26223】,화10:30-11:45【26223】",일반수업,26223,"2_09001015, 2_10301145"
ERC2012-42,공과대학,건설환경공학부,"인공지능과디지털수학
Digital Mathematics for Artificial Intelligence",김현수,"금09:00-10:15【26515】,금10:30-11:45【26515】",일반수업,26515,"5_09001015, 5_10301145"
ERC3011-41,공과대학,건설환경공학부,"산학융합캡스톤디자인
Industry Collaborative Capstone Design",김미소,"금18:00-19:15【26223】,금19:30-20:45【26223】",일반수업,26223,"5_18001915, 5_19302045"
ERC7001-41,공과대학,건설환경공학부,"메타버스플랫폼이해와활용
Understanding and Utilizing the Metaverse Platform",김정엽,"화12:00-13:15【26305】,목13:30-14:45【26305】",일반수업,26305,"2_12001315, 4_13301445"
ERC7002-41,공과대학,건설환경공학부,"NFT이해와활용
Understanding and Utilizing NFT",김정엽,"화13:30-14:45【83188】,목12:00-13:15【83188】",일반수업,83188,"2_13301445, 4_12001315"
ERC2011-47,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",원병묵,"월10:30-11:45【22319】,수09:00-10:15【22319】",일반수업,22319,"1_10301145, 3_09001015"
ERC2011-48,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",권영돈,"월13:30-14:45【22319】,수12:00-13:15【22319】",일반수업,22319,"1_13301445, 3_12001315"
ERC2011-49,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",최현기,"화15:00-16:15【22410】,목16:30-17:45【22410】",일반수업,22410,"2_15001615, 4_16301745"
ERC2012-41,공과대학,건설환경공학부,"인공지능과디지털수학
Digital Mathematics for Artificial Intelligence",김현수,"화09:00-10:15【26223】,화10:30-11:45【26223】",일반수업,26223,"2_09001015, 2_10301145"
